County,Year-Month,Population,Pop Indensity
New Taipei,201001,3876070,1888.4
New Taipei,201002,3878282,1889.5
New Taipei,201003,3882039,1891.3
New Taipei,201004,3884754,1892.6
New Taipei,201005,3885507,1893.0
New Taipei,201006,3880743,1890.7
New Taipei,201007,3889049,1894.7
New Taipei,201008,3892616,1896.5
New Taipei,201009,3892603,1896.5
New Taipei,201010,3893740,1897.0
New Taipei,201011,3896316,1898.3
New Taipei,201012,3897367,1898.8
New Taipei,201101,3897421,1898.8
New Taipei,201102,3897888,1899.0
New Taipei,201103,3898230,1899.2
New Taipei,201104,3900199,1900.2
New Taipei,201105,3901959,1901.0
New Taipei,201106,3903745,1901.9
New Taipei,201107,3906117,1903.0
New Taipei,201108,3908632,1904.3
New Taipei,201109,3910086,1905.0
New Taipei,201110,3911833,1905.8
New Taipei,201111,3913595,1906.7
New Taipei,201112,3916451,1908.1
New Taipei,201201,3917945,1908.8
New Taipei,201202,3919597,1909.6
New Taipei,201203,3920761,1910.2
New Taipei,201204,3921580,1910.6
New Taipei,201205,3923969,1911.7
New Taipei,201206,3926188,1912.8
New Taipei,201207,3928418,1913.9
New Taipei,201208,3930638,1915.0
New Taipei,201209,3933061,1916.2
New Taipei,201210,3935072,1917.1
New Taipei,201211,3937149,1918.2
New Taipei,201212,3939305,1919.2
New Taipei,201301,3941239,1920.1
New Taipei,201302,3942202,1920.6
New Taipei,201303,3942882,1920.9
New Taipei,201304,3943421,1921.2
New Taipei,201305,3944955,1922.0
New Taipei,201306,3945789,1922.4
New Taipei,201307,3947608,1923.3
New Taipei,201308,3949765,1924.3
New Taipei,201309,3951381,1925.1
New Taipei,201310,3952335,1925.6
New Taipei,201311,3953858,1926.3
New Taipei,201312,3954929,1926.8
New Taipei,201401,3955777,1927.2
New Taipei,201402,3955842,1927.3
New Taipei,201403,3955390,1927.0
New Taipei,201404,3954905,1926.8
New Taipei,201405,3955995,1927.3
New Taipei,201406,3956728,1927.7
New Taipei,201407,3957965,1928.3
New Taipei,201408,3959855,1929.2
New Taipei,201409,3961374,1930.0
New Taipei,201410,3962920,1930.7
New Taipei,201411,3963970,1931.2
New Taipei,201412,3966818,1932.6
New Taipei,201501,3967571,1933.0
New Taipei,201502,3967419,1932.9
New Taipei,201503,3965649,1932.0
New Taipei,201504,3964888,1931.7
New Taipei,201505,3965926,1932.2
New Taipei,201506,3966052,1932.2
New Taipei,201507,3966071,1932.2
New Taipei,201508,3966533,1932.5
New Taipei,201509,3967483,1932.9
New Taipei,201510,3968921,1933.6
New Taipei,201511,3969855,1934.1
New Taipei,201512,3970644,1934.5
New Taipei,201601,3971250,1934.8
New Taipei,201602,3971660,1935.0
New Taipei,201603,3970790,1934.5
New Taipei,201604,3971000,1934.6
New Taipei,201605,3972003,1935.1
New Taipei,201606,3972204,1935.2
New Taipei,201607,3973655,1935.9
New Taipei,201608,3974278,1936.2
New Taipei,201609,3974911,1936.6
New Taipei,201610,3976313,1937.2
New Taipei,201611,3977905,1938.0
New Taipei,201612,3979208,1938.6
New Taipei,201701,3979963,1939.0
New Taipei,201702,3980317,1939.2
New Taipei,201703,3980414,1939.2
New Taipei,201704,3980867,1939.5
New Taipei,201705,3982268,1940.1
New Taipei,201706,3982434,1940.2
New Taipei,201707,3984051,1941.0
New Taipei,201708,3984720,1941.3
New Taipei,201709,3984975,1941.5
New Taipei,201710,3985698,1941.8
New Taipei,201711,3986291,1942.1
New Taipei,201712,3986689,1942.3
New Taipei,201801,3986348,1942.1
New Taipei,201802,3986501,1942.2
New Taipei,201803,3986382,1942.1
New Taipei,201804,3985915,1941.9
New Taipei,201805,3986911,1942.4
New Taipei,201806,3987520,1942.7
New Taipei,201807,3988906,1943.4
New Taipei,201808,3990211,1944.0
New Taipei,201809,3991411,1944.6
New Taipei,201810,3992291,1945.0
New Taipei,201811,3993872,1945.8
New Taipei,201812,3995717,1946.7
New Taipei,201901,3997189,1947.4
New Taipei,201902,3998358,1948.0
New Taipei,201903,3998883,1948.2
New Taipei,201904,4000164,1948.9
New Taipei,201905,4003297,1950.4
Taipei,201001,2606151,9588.5
Taipei,201002,2605063,9584.5
Taipei,201003,2604744,9583.3
Taipei,201004,2603651,9579.3
Taipei,201005,2604150,9581.1
Taipei,201006,2602868,9576.4
Taipei,201007,2605357,9585.6
Taipei,201008,2605309,9585.4
Taipei,201009,2608923,9598.7
Taipei,201010,2613071,9613.9
Taipei,201011,2615613,9623.3
Taipei,201012,2618772,9634.9
Taipei,201101,2622883,9650.0
Taipei,201102,2624791,9657.1
Taipei,201103,2627677,9667.7
Taipei,201104,2630285,9677.3
Taipei,201105,2633044,9687.4
