ID,Time,Denv,BI,CI,HI,Tave,Tmax,Tmin,Humid,Prec,Pop,Pop_Den
1,1,0,0.5,6.24975,0.5,16.61,18.65714286,14.71428571,75.71,0.57,336704.9965,72.77498711
1,2,0,0,0,0,18.94,21.55714286,16.8,75.43,0.36,336676.9953,72.74998282
1,3,0,0,0,0,19.3,21.91428571,17.1,76.43,2.4,336648.9965,72.72498711
1,4,0,0,0,0,0,18.6,13.77142857,79.71,5,336621,72.7
1,5,0,0,0,0,17.96,20.41428571,16.05714286,76.57,1,336586.9948,72.7
1,6,0,0,0,0,18.24,21.37142857,15.58571429,74.57,1.2,336552.9931,72.7
1,7,0,0,0,0,19.8,22.57142857,17.51428571,75.29,0.4,336518.9948,72.7
1,8,0,0.06,0.19044,0.057142857,19.64,22.24285714,17.57142857,81.71,9.58,336485,72.7
1,9,0,0,0,0,19.53,22.65714286,17.37142857,82.43,7.21,336443.2422,72.7
1,10,0,0,0,0,21.5,24.44285714,18.77142857,80,2.58,336401.4896,72.7
1,11,0,0.07,0.16,0.066666667,20.17,23.61428571,17.14285714,80.29,3.57,336359.7422,72.7
1,12,0,0,0,0,21.34,24.5,18.67142857,76.86,4.93,336318,72.7
1,13,0,0,0,0,19.61,23.71428571,16.5,63.14,0.07,336276.263,72.7
1,14,0,0,0,0,20.41,24.2,17.52857143,69.43,1.5,336257.4837,72.67498709
1,15,0,0.13,0.333333333,0.133333333,23.26,26.34285714,20.25714286,79.43,1.17,336196.9782,72.64998279
1,16,0,0.18,0.430533333,0.18,23.24,26.6,20.68571429,79.43,7.25,336136.4837,72.6249871
1,17,0,0.5,1.38875,0.5,23.49,27.4,20.52857143,78.14,5.33,336076,72.6
1,18,0,0,0,0,24.67,27.64285714,22.18571429,79.43,5.36,336061.9991,72.6
1,19,0,0.17,0.398125,0.166666667,24.9,28.6,22.04285714,75.43,2.75,336047.9988,72.6
1,20,0,0,0,0,26.03,30,22.7,74.14,4,336033.9991,72.6
1,21,0,0,0,0,25.27,28.82857143,22.64285714,75.29,8.64,336020,72.6
