ID,Time,Denv,BI,CI,HI,Pop,PopDen
1,1,0,0.5,6.24975,0.5,336705,72.77
1,2,0,0.0,0.0,0.0,336677,72.75
1,3,0,0.0,0.0,0.0,336649,72.72
1,4,0,0.0,0.0,0.0,336621,72.7
1,5,0,0.0,0.0,0.0,336587,72.7
1,6,0,0.0,0.0,0.0,336553,72.7
1,7,0,0.0,0.0,0.0,336519,72.7
1,8,0,0.057139999999999996,0.19044,0.057139999999999996,336485,72.7
1,9,0,0.0,0.0,0.0,336443,72.7
1,10,0,0.0,0.0,0.0,336401,72.7
1,11,0,0.06667000000000001,0.16,0.06667000000000001,336360,72.7
1,12,0,0.0,0.0,0.0,336318,72.7
1,13,0,0.0,0.0,0.0,336276,72.7
1,14,0,0.0,0.0,0.0,336257,72.67
1,15,0,0.13333,0.33333,0.13333,336197,72.65
1,16,0,0.18,0.43053,0.18,336136,72.62
1,17,0,0.5,1.38875,0.5,336076,72.6
1,18,0,0.0,0.0,0.0,336062,72.6
1,19,0,0.16667,0.39813000000000004,0.16667,336048,72.6
1,20,0,0.0,0.0,0.0,336034,72.6
1,21,0,0.0,0.0,0.0,336020,72.6
1,22,0,0.0,0.0,0.0,335963,72.57
1,23,0,0.25714000000000004,0.4618,0.25714000000000004,335907,72.55
1,24,1,0.0,0.0,0.0,335850,72.52
1,25,0,0.0,0.0,0.0,335794,72.5
1,26,0,0.0,0.0,0.0,335738,72.48
1,27,0,0.4,0.5262,0.4,335726,72.5
1,28,0,0.0,0.0,0.0,335658,72.5
1,29,0,0.0,0.0,0.0,335590,72.5
1,30,0,0.0,0.0,0.0,335522,72.5
1,31,0,0.0,0.0,0.0,335474,72.47
1,32,0,0.0,0.0,0.0,335426,72.45
1,33,0,0.33333,0.5465,0.33333,335379,72.42
1,34,0,0.0,0.0,0.0,335331,72.4
1,35,0,0.0,0.0,0.0,335320,72.4
1,36,0,0.0,0.0,0.0,335309,72.4
1,37,0,0.25,0.54338,0.25,335299,72.4
1,38,0,0.0,0.0,0.0,335288,72.4
1,39,0,0.0,0.0,0.0,335277,72.4
1,40,0,0.0,0.0,0.0,335272,72.4
1,41,0,0.13333,0.3125,0.13333,335255,72.4
1,42,0,0.13714,2.292,0.13714,335239,72.4
