,County,YYYYWW,Population,Pop Density
0,New Taipei,2012_01,3918357.934713073,1908.9999685743217
1,New Taipei,2012_02,3918770.9129477064,1909.1999580976326
2,New Taipei,2012_03,3919183.934708486,1909.3999685721274
3,New Taipei,2012_04,3919597.0,1909.6000000000008
4,New Taipei,2012_05,3919887.967598837,1909.7499823293801
5,New Taipei,2012_06,3920178.9567973805,1909.8999764385565
6,New Taipei,2012_07,3920469.967597233,1910.0499823284545
7,New Taipei,2012_08,3920760.999999999,1910.1999999999996
8,New Taipei,2012_09,3920965.7339632707,1910.2999921483784
9,New Taipei,2012_10,3921170.478617322,1910.3999895309883
10,New Taipei,2012_11,3921375.233962713,1910.4999921481044
11,New Taipei,2012_12,3921579.9999999995,1910.6000000000004
12,New Taipei,2012_13,3921784.7767297425,1910.70001308695
13,New Taipei,2012_14,3922177.1136082187,1910.8749406472218
14,New Taipei,2012_15,3922774.3181350627,1911.149920859167
15,New Taipei,2012_16,3923371.613594375,1911.4249406415277
16,New Taipei,2012_17,3923969.000000002,1911.6999999999998
17,New Taipei,2012_18,3924523.632397357,1911.9749406813626
18,New Taipei,2012_19,3925078.3431890886,1912.2499209046923
19,New Taipei,2012_20,3925633.1323862746,1912.5249406756755
20,New Taipei,2012_21,3926188.0,1912.8000000000006
21,New Taipei,2012_22,3926745.381295809,1913.0749407154633
22,New Taipei,2012_23,3927302.841720256,1913.3499209501642
23,New Taipei,2012_24,3927860.381284574,1913.6249407097823
24,New Taipei,2012_25,3928418.0,1913.8999999999994
25,New Taipei,2012_26,3928975.6978777675,1914.1750988264973
26,New Taipei,2012_27,3928972.882424617,1914.1749407495256
27,New Taipei,2012_28,3929527.843225442,1914.4499209955848
28,New Taipei,2012_29,3930082.882413545,1914.7249407438512
29,New Taipei,2012_30,3930637.999999998,1915.0000000000002
30,New Taipei,2012_31,3931243.6100222766,1915.299929529674
31,New Taipei,2012_32,3931849.3133534505,1915.5999060346605
32,New Taipei,2012_33,3932455.1100078993,1915.8999295223161
33,New Taipei,2012_34,3933061.0000000005,1916.1999999999998
34,New Taipei,2012_35,3933563.6536314716,1916.42496038164
35,New Taipei,2012_36,3934066.371503155,1916.6499471734528
36,New Taipei,2012_37,3934569.1536232615,1916.874960378539
37,New Taipei,2012_38,3935072.0000000014,1917.0999999999997
38,New Taipei,2012_39,3935574.910641586,1917.325066040936
39,New Taipei,2012_40,3935591.147255662,1917.3749408483927
40,New Taipei,2012_41,3936110.363001525,1917.6499211274202
41,New Taipei,2012_42,3936629.6472466243,1917.9249408427374
42,New Taipei,2012_43,3937148.999999998,1918.2000000000005
43,New Taipei,2012_44,3937687.8893508096,1918.4499511409133
44,New Taipei,2012_45,3938226.852461016,1918.6999348517215
45,New Taipei,2012_46,3938765.889340713,1918.9499511366691
46,New Taipei,2012_47,3939304.9999999995,1919.2000000000003
47,New Taipei,2012_48,3939788.4110101946,1919.4249604435524
48,New Taipei,2012_49,3940271.881342073,1919.649947256009
49,New Taipei,2012_50,3940755.411002914,1919.8749604404609
50,New Taipei,2012_51,3941238.9999999995,1920.0999999999992
51,New Taipei,2012_52,3941722.6483406103,1920.3250659377152
52,New Taipei,2013_01,3941479.7279438763,1920.2249877954582
53,New Taipei,2013_02,3941720.470591237,1920.3499837269244
