"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1002.4","...","1004.9","2013-04-01 10:16","1000.7","2013-04-01 16:10","20.6","24.0","2013-04-01 14:36","18.0","2013-04-01 01:53","...","96","86","2013-04-01 08:32","0.6","308","4.3","335","2013-04-01 09:34","10.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1001.3","...","1003.2","2013-04-02 00:01","999.1","2013-04-02 15:12","22.6","29.6","2013-04-02 14:16","17.7","2013-04-02 23:54","...","82","57","2013-04-02 13:37","1.0","360","7.2","347","2013-04-02 12:13","4.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","999.7","...","1002.2","2013-04-03 00:01","997.8","2013-04-03 17:33","20.8","27.8","2013-04-03 13:33","17.2","2013-04-03 00:41","...","89","63","2013-04-03 13:33","0.7","59","5.1","341","2013-04-03 21:21","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","996.7","...","999.4","2013-04-04 00:01","994.1","2013-04-04 23:49","21.3","25.7","2013-04-04 12:18","19.0","2013-04-04 00:01","...","96","77","2013-04-04 12:19","0.6","205","4.9","292","2013-04-04 19:38","5.5","...","...","","...","","...","...","...","...","...","...","","..."
"05","993.6","...","996.2","2013-04-05 10:52","991.3","2013-04-05 16:35","21.3","24.0","2013-04-05 13:34","20.2","2013-04-05 20:36","...","99","93","2013-04-05 14:16","0.8","151","6.1","197","2013-04-05 04:52","185.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","993.8","...","998.5","2013-04-06 23:01","990.2","2013-04-06 01:05","19.3","23.4","2013-04-06 10:02","14.0","2013-04-06 23:47","...","92","78","2013-04-06 22:16","1.5","344","10.7","347","2013-04-06 20:45","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","999.3","...","1001.6","2013-04-07 23:02","996.9","2013-04-07 02:07","17.5","25.2","2013-04-07 14:48","13.3","2013-04-07 06:04","...","67","45","2013-04-07 14:32","0.9","268","5.6","341","2013-04-07 02:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","1001.3","...","1003.6","2013-04-08 09:01","999.2","2013-04-08 14:31","20.1","27.0","2013-04-08 13:12","15.7","2013-04-08 00:01","...","81","54","2013-04-08 12:46","0.6","25","3.4","316","2013-04-08 13:38","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1002.9","...","1005.4","2013-04-09 23:24","1000.8","2013-04-09 03:47","19.7","25.5","2013-04-09 13:01","17.5","2013-04-09 04:08","...","91","65","2013-04-09 11:59","0.7","345","4.5","351","2013-04-09 16:36","15.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1003.6","...","1005.1","2013-04-10 08:50","1001.7","2013-04-10 14:31","18.1","22.3","2013-04-10 15:23","16.2","2013-04-10 05:47","...","90","69","2013-04-10 15:24","0.8","354","3.9","334","2013-04-10 11:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1003.7","...","1005.2","2013-04-11 21:09","1002.2","2013-04-11 05:46","18.5","21.5","2013-04-11 10:49","16.1","2013-04-11 05:16","...","93","81","2013-04-11 13:34","0.5","267","2.4","261","2013-04-11 12:41","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"12","1005.1","...","1007.0","2013-04-12 10:16","1004.1","2013-04-12 01:01","17.1","19.1","2013-04-12 12:44","15.6","2013-04-12 06:04","...","98","87","2013-04-12 12:46","0.4","359","2.7","339","2013-04-12 12:01","6.0","...","...","","...","","...","...","...","...","...","...","","..."
"13","1003.6","...","1005.5","2013-04-13 09:51","1002.0","2013-04-13 19:32","19.5","22.6","2013-04-13 11:07","16.9","2013-04-13 05:01","...","97","83","2013-04-13 11:02","0.5","96","2.5","177","2013-04-13 11:58","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"14","1001.3","...","1003.3","2013-04-14 00:01","998.8","2013-04-14 22:52","18.7","20.5","2013-04-14 09:19","17.0","2013-04-14 23:39","...","99","98","2013-04-14 12:03","0.5","271","3.0","2","2013-04-14 10:56","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"15","999.0","...","1000.8","2013-04-15 10:35","997.5","2013-04-15 15:04","22.3","29.5","2013-04-15 13:16","15.8","2013-04-15 04:49","...","84","52","2013-04-15 13:16","0.8","148","4.6","317","2013-04-15 15:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"16","997.4","...","999.1","2013-04-16 11:01","995.6","2013-04-16 14:46","24.3","29.8","2013-04-16 10:17","20.1","2013-04-16 05:50","...","83","48","2013-04-16 10:03","0.8","104","5.2","265","2013-04-16 16:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"17","997.1","...","999.2","2013-04-17 10:39","995.9","2013-04-17 00:02","24.7","29.8","2013-04-17 12:52","21.8","2013-04-17 06:05","...","82","60","2013-04-17 13:18","0.9","188","4.2","259","2013-04-17 22:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","997.7","...","999.4","2013-04-18 07:46","996.3","2013-04-18 15:39","25.4","30.1","2013-04-18 11:49","22.2","2013-04-18 04:48","...","87","65","2013-04-18 15:03","0.7","199","3.9","212","2013-04-18 11:02","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"19","998.5","...","1000.6","2013-04-19 22:48","996.9","2013-04-19 03:17","24.3","28.8","2013-04-19 10:07","21.7","2013-04-19 23:16","...","89","65","2013-04-19 09:01","0.6","242","3.0","324","2013-04-19 10:21","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"20","999.5","...","1001.6","2013-04-20 22:46","997.9","2013-04-20 03:16","23.9","28.4","2013-04-20 12:03","21.0","2013-04-20 23:59","...","96","70","2013-04-20 12:31","0.5","259","2.4","232","2013-04-20 09:28","9.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","1002.1","...","1003.9","2013-04-21 22:46","1000.4","2013-04-21 02:46","19.2","24.6","2013-04-21 12:19","17.1","2013-04-21 21:47","...","85","66","2013-04-21 12:31","1.1","345","4.2","335","2013-04-21 15:47","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"22","1003.6","...","1005.2","2013-04-22 08:32","1001.3","2013-04-22 15:34","20.4","25.6","2013-04-22 13:09","16.6","2013-04-22 02:18","...","81","62","2013-04-22 11:18","0.6","269","3.4","296","2013-04-22 16:34","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","1002.6","...","1004.1","2013-04-23 09:17","1000.7","2013-04-23 14:18","24.7","31.0","2013-04-23 13:19","19.9","2013-04-23 03:06","...","81","48","2013-04-23 11:00","0.9","261","5.5","224","2013-04-23 13:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","1000.9","...","1002.6","2013-04-24 00:20","998.9","2013-04-24 15:46","25.8","32.5","2013-04-24 11:08","21.6","2013-04-24 23:39","...","83","52","2013-04-24 11:49","1.0","9","6.1","273","2013-04-24 13:20","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","999.9","...","1001.3","2013-04-25 21:31","998.4","2013-04-25 00:31","22.9","29.8","2013-04-25 09:48","21.0","2013-04-25 18:51","...","94","65","2013-04-25 09:55","0.6","336","5.8","333","2013-04-25 12:25","10.5","...","...","","...","","...","...","...","...","...","...","","..."
"26","1000.4","...","1001.7","2013-04-26 10:24","998.8","2013-04-26 16:32","22.1","25.9","2013-04-26 14:49","19.2","2013-04-26 07:01","...","88","66","2013-04-26 16:37","0.6","6","2.1","347","2013-04-26 06:30","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"27","1001.3","...","1002.8","2013-04-27 09:54","999.5","2013-04-27 02:17","20.8","22.9","2013-04-27 12:54","19.5","2013-04-27 20:34","...","98","92","2013-04-27 13:01","0.6","146","2.6","218","2013-04-27 06:37","7.0","...","...","","...","","...","...","...","...","...","...","","..."
"28","1001.8","...","1003.8","2013-04-28 09:01","1000.6","2013-04-28 15:53","22.9","29.6","2013-04-28 15:02","19.7","2013-04-28 03:08","...","90","62","2013-04-28 15:08","0.7","3","3.4","353","2013-04-28 13:27","14.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","1000.9","...","1003.0","2013-04-29 09:16","999.4","2013-04-29 15:46","24.5","31.4","2013-04-29 12:22","19.2","2013-04-29 05:04","...","81","52","2013-04-29 14:20","0.7","267","4.0","282","2013-04-29 15:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
