"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1009.0","1020.2","1010.8","2011-12-01 09:39","1007.0","2011-12-01 01:24","14.4","17.5","2011-12-01 00:01","11.6","2011-12-01 23:54","9.6","73","65","2011-12-01 19:18","5.5","40","16.7","60","2011-12-01 01:53","0.0","0.0","0.0","","0.0","","0.0","0.0","3.68","17.2","2.9","2","2011-12-01 13:00","10.0"
"02","1008.0","1019.2","1009.8","2011-12-02 09:14","1005.8","2011-12-02 14:24","11.4","12.6","2011-12-02 21:27","10.5","2011-12-02 13:13","6.6","72","65","2011-12-02 05:50","3.0","340","11.3","350","2011-12-02 00:28","0.0","0.0","0.0","","0.0","","1.4","13.3","3.59","16.2","1.2","2","2011-12-02 15:00","6.8"
"03","1010.2","1021.4","1013.5","2011-12-03 23:59","1007.8","2011-12-03 02:55","13.0","15.1","2011-12-03 11:17","10.4","2011-12-03 03:39","6.1","63","51","2011-12-03 11:15","3.6","40","12.9","60","2011-12-03 23:07","0.0","0.0","0.0","","0.0","","9.2","87.3","15.33","19.3","3.2","5","2011-12-03 12:00","0.5"
"04","1012.4","1023.5","1014.3","2011-12-04 08:40","1010.3","2011-12-04 14:39","14.1","16.1","2011-12-04 11:43","11.6","2011-12-04 05:49","9.0","72","57","2011-12-04 11:43","4.6","20","16.9","350","2011-12-04 22:52","0.0","0.0","0.0","","0.0","","3.6","34.2","10.48","8.2","-1.9","5","2011-12-04 12:00","7.7"
"05","1011.4","1022.5","1012.6","2011-12-05 21:09","1009.5","2011-12-05 14:00","15.0","16.0","2011-12-05 08:53","13.9","2011-12-05 13:29","12.7","87","76","2011-12-05 04:56","5.4","360","16.2","360","2011-12-05 20:20","1.6","9.9","0.5","2011-12-05 13:00","0.5","2011-12-05 12:10","0.0","0.0","0.27","5.3","-0.9","1","2011-12-05 11:00","10.0"
"06","1010.7","1021.8","1012.6","2011-12-06 08:47","1008.9","2011-12-06 14:00","16.4","17.2","2011-12-06 10:55","15.6","2011-12-06 01:48","14.9","91","82","2011-12-06 00:04","4.6","360","13.5","350","2011-12-06 23:40","3.0","8.5","1.0","2011-12-06 22:33","2.0","2011-12-06 22:10","0.0","0.0","1.66","5.1","-0.1","2","2011-12-06 12:00","10.0"
"07","1007.4","1018.4","1010.2","2011-12-07 00:01","1004.8","2011-12-07 15:02","17.6","19.6","2011-12-07 14:48","16.6","2011-12-07 04:51","16.8","95","88","2011-12-07 18:55","3.6","350","13.7","30","2011-12-07 01:12","2.5","2.6","0.5","2011-12-07 05:05","1.0","2011-12-07 06:05","0.0","0.0","3.36","16.7","-0.1","2","2011-12-07 13:00","8.2"
"08","1011.2","1022.3","1016.1","2011-12-08 23:58","1007.4","2011-12-08 01:53","14.9","17.6","2011-12-08 02:07","11.7","2011-12-08 23:47","11.4","80","67","2011-12-08 17:19","4.7","40","16.5","360","2011-12-08 21:01","0.5","2.5","0.5","2011-12-08 05:58","0.5","2011-12-08 05:08","0.0","0.0","0.92","16.0","-2.9","1","2011-12-08 12:00","10.0"
"09","1016.9","1028.3","1019.1","2011-12-09 09:31","1015.3","2011-12-09 02:17","9.5","11.7","2011-12-09 00:01","7.9","2011-12-09 05:32","4.4","71","62","2011-12-09 14:36","5.6","20","18.5","20","2011-12-09 18:14","T","1.1","T","2011-12-09 05:05","T","2011-12-09 04:53","0.0","0.0","3.64","9.0","2.0","2","2011-12-09 12:00","10.0"
"10","1016.8","1028.2","1018.5","2011-12-10 09:13","1015.1","2011-12-10 15:03","9.5","10.8","2011-12-10 19:55","8.5","2011-12-10 01:38","1.1","56","43","2011-12-10 23:39","5.2","20","15.3","350","2011-12-10 09:06","0.0","0.0","0.0","","0.0","","0.0","0.0","4.44","11.7","4.3","2","2011-12-10 13:00","10.0"
