"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1017.3","...","1018.9","2015-03-01 10:49","1014.7","2015-03-01 00:30","14.1","17.4","2015-03-01 00:56","12.1","2015-03-01 20:19","...","82","68","2015-03-01 13:54","3.5","43","12.4","33","2015-03-01 13:01","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1013.2","...","1017.7","2015-03-02 00:03","1010.1","2015-03-02 18:32","15.0","16.9","2015-03-02 16:54","13.0","2015-03-02 00:12","...","81","74","2015-03-02 14:15","1.1","2","7.9","31","2015-03-02 02:00","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1009.8","...","1012.0","2015-03-03 23:58","1006.9","2015-03-03 14:33","18.0","21.5","2015-03-03 13:23","15.1","2015-03-04 00:00","...","85","74","2015-03-03 13:23","1.9","334","10.8","28","2015-03-03 23:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1014.0","...","1016.5","2015-03-04 21:18","1011.7","2015-03-04 02:38","14.7","16.7","2015-03-04 08:46","13.6","2015-03-04 22:15","...","84","74","2015-03-04 08:55","3.6","32","11.1","48","2015-03-04 12:17","1.5","...","...","","...","","...","...","...","...","...","...","","..."
"05","1014.3","...","1016.0","2015-03-06 00:00","1012.3","2015-03-05 15:12","16.1","18.7","2015-03-05 14:01","13.6","2015-03-05 00:44","...","88","77","2015-03-05 14:01","1.7","16","8.3","44","2015-03-05 03:08","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1014.5","...","1016.4","2015-03-06 09:20","1012.3","2015-03-06 15:35","16.0","19.8","2015-03-06 12:39","13.5","2015-03-06 07:36","...","90","72","2015-03-06 12:39","2.5","20","8.8","39","2015-03-06 04:59","2.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1015.1","...","1016.4","2015-03-07 10:17","1013.7","2015-03-07 14:33","16.8","20.7","2015-03-07 14:02","14.9","2015-03-07 06:19","...","88","74","2015-03-07 14:13","2.3","18","7.9","38","2015-03-07 15:24","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1014.1","...","1015.6","2015-03-09 00:00","1013.0","2015-03-08 22:45","18.0","22.4","2015-03-08 12:22","15.3","2015-03-08 03:41","...","90","74","2015-03-08 11:50","1.0","9","7.8","11","2015-03-08 14:39","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1015.9","...","1019.7","2015-03-09 22:24","1012.4","2015-03-09 04:27","17.9","21.9","2015-03-09 01:36","14.5","2015-03-09 22:12","...","77","62","2015-03-09 15:10","3.1","47","13.4","42","2015-03-09 16:11","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","1018.9","...","1020.8","2015-03-10 23:32","1017.3","2015-03-10 01:56","14.1","17.1","2015-03-10 11:17","11.5","2015-03-10 23:39","...","78","65","2015-03-10 11:16","4.2","41","14.6","47","2015-03-10 11:21","8.0","...","...","","...","","...","...","...","...","...","...","","..."
