"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1007.2","...","1009.5","2012-04-01 00:09","1005.2","2012-04-01 16:04","19.2","21.9","2012-04-01 14:49","16.2","2012-04-01 00:36","...","45","40","2012-04-01 11:29","3.3","125","13.6","101","2012-04-01 02:37","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","1004.5","...","1007.0","2012-04-02 08:38","1001.7","2012-04-02 15:57","22.2","27.5","2012-04-02 14:07","18.5","2012-04-02 05:10","...","57","38","2012-04-02 14:07","0.2","111","3.7","114","2012-04-02 00:43","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","1006.7","...","1009.0","2012-04-03 22:09","1003.6","2012-04-03 02:12","20.8","27.0","2012-04-03 11:04","16.3","2012-04-03 23:49","...","65","44","2012-04-03 14:23","2.5","120","12.1","115","2012-04-03 22:58","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","1004.6","...","1008.4","2012-04-04 00:02","1001.4","2012-04-04 17:06","21.7","28.6","2012-04-04 12:56","16.3","2012-04-04 00:53","...","48","24","2012-04-04 13:35","2.2","120","12.4","101","2012-04-04 00:23","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","1003.9","...","1005.6","2012-04-05 20:59","1002.4","2012-04-05 14:52","18.6","20.9","2012-04-05 00:26","17.2","2012-04-05 21:47","...","94","79","2012-04-06 00:00","0.7","94","6.3","72","2012-04-05 22:06","24.5","...","...","","...","","...","...","...","...","...","...","","..."
"06","1005.3","...","1006.9","2012-04-06 10:10","1003.2","2012-04-06 02:27","18.0","18.9","2012-04-06 23:45","16.5","2012-04-06 14:29","...","65","41","2012-04-06 07:34","3.8","107","12.0","103","2012-04-06 21:09","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"07","1005.9","...","1007.2","2012-04-07 21:31","1004.4","2012-04-07 16:35","20.2","23.0","2012-04-07 12:59","17.0","2012-04-07 05:06","...","54","43","2012-04-07 13:01","3.6","116","11.3","111","2012-04-07 02:12","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"08","1005.4","...","1006.4","2012-04-08 09:52","1004.3","2012-04-08 03:44","21.5","24.4","2012-04-08 10:55","19.4","2012-04-09 00:00","...","62","45","2012-04-08 10:03","2.0","120","11.3","111","2012-04-08 02:12","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","1005.5","...","1006.4","2012-04-09 21:28","1004.6","2012-04-09 23:57","20.6","20.7","2012-04-09 17:05","20.1","2012-04-09 22:09","...","87","91","2012-04-09 17:41","0.7","113","5.7","132","2012-04-09 23:01","13.5","...","...","","...","","...","...","...","...","...","...","","..."
"10","1002.7","...","1005.6","2012-04-10 08:15","1000.3","2012-04-10 16:25","24.1","29.3","2012-04-10 12:22","19.9","2012-04-10 04:21","...","79","57","2012-04-10 16:24","0.6","96","5.4","106","2012-04-10 00:09","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"11","1000.1","...","1001.7","2012-04-11 22:38","997.7","2012-04-11 16:06","25.9","30.5","2012-04-11 14:06","23.3","2012-04-11 23:59","...","78","61","2012-04-11 11:35","0.7","276","5.8","273","2012-04-11 12:24","X","...","...","","...","","...","...","...","...","...","...","","..."
"12","999.5","...","1001.2","2012-04-12 00:10","997.5","2012-04-12 16:28","25.1","29.5","2012-04-12 12:06","21.1","2012-04-12 04:27","...","75","58","2012-04-12 11:00","1.2","115","5.9","118","2012-04-12 01:28","X","...","...","","...","","...","...","...","...","...","...","","..."
"13","999.2","...","1000.9","2012-04-13 22:10","997.4","2012-04-13 15:17","26.3","29.6","2012-04-13 12:51","23.5","2012-04-13 04:45","...","70","53","2012-04-13 18:48","0.9","268","8.0","291","2012-04-13 13:18","X","...","...","","...","","...","...","...","...","...","...","","..."
"14","1001.0","...","1002.9","2012-04-14 09:30","999.3","2012-04-14 15:29","22.7","25.5","2012-04-14 01:02","21.1","2012-04-14 18:50","...","82","66","2012-04-14 00:30","1.6","111","7.5","110","2012-04-14 11:44","X","...","...","","...","","...","...","...","...","...","...","","..."
"15","998.4","...","1000.6","2012-04-15 10:31","995.4","2012-04-15 17:07","23.6","27.3","2012-04-15 12:41","21.4","2012-04-15 22:24","...","82","65","2012-04-15 13:18","0.5","277","5.6","269","2012-04-15 21:10","X","...","...","","...","","...","...","...","...","...","...","","..."
"16","999.9","...","1001.9","2012-04-16 23:16","996.7","2012-04-16 01:59","19.5","21.6","2012-04-16 01:08","17.9","2012-04-16 23:13","...","91","78","2012-04-16 23:58","0.9","27","5.3","114","2012-04-16 19:26","X","...","...","","...","","...","...","...","...","...","...","","..."
"17","1000.1","...","1001.7","2012-04-17 09:17","998.2","2012-04-17 14:29","19.5","22.4","2012-04-17 14:10","17.8","2012-04-17 01:39","...","77","53","2012-04-17 14:44","2.5","131","9.3","112","2012-04-17 08:59","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"18","999.2","...","1000.7","2012-04-18 22:27","997.7","2012-04-18 15:41","22.0","26.7","2012-04-18 11:47","19.0","2012-04-18 04:02","...","88","66","2012-04-18 12:29","0.5","110","6.5","103","2012-04-18 00:02","8.5","...","...","","...","","...","...","...","...","...","...","","..."
"19","999.3","...","1000.8","2012-04-19 10:06","997.8","2012-04-19 14:45","23.3","27.5","2012-04-19 15:27","21.1","2012-04-19 05:51","...","88","70","2012-04-19 15:28","0.5","87","3.7","106","2012-04-19 21:46","0.5","...","...","","...","","...","...","...","...","...","...","","..."
"20","998.3","...","1000.0","2012-04-20 08:18","995.6","2012-04-20 16:18","24.8","29.9","2012-04-20 14:32","21.9","2012-04-20 02:57","...","81","56","2012-04-20 14:33","0.8","122","4.5","137","2012-04-20 06:54","11.0","...","...","","...","","...","...","...","...","...","...","","..."
"21","995.5","...","998.8","2012-04-21 22:56","993.4","2012-04-21 14:00","24.9","30.7","2012-04-21 12:37","22.2","2012-04-21 05:15","...","80","41","2012-04-21 12:39","1.1","274","9.9","296","2012-04-21 12:21","13.0","...","...","","...","","...","...","...","...","...","...","","..."
"22","1000.0","...","1001.4","2012-04-22 09:57","997.9","2012-04-22 01:22","21.8","24.7","2012-04-22 13:47","18.8","2012-04-22 04:27","...","79","63","2012-04-22 15:01","2.1","126","9.8","77","2012-04-22 10:40","58.0","...","...","","...","","...","...","...","...","...","...","","..."
"23","999.7","...","1001.7","2012-04-23 10:02","997.7","2012-04-23 16:06","25.2","30.5","2012-04-23 11:19","20.7","2012-04-23 04:59","...","72","50","2012-04-23 11:56","0.6","102","3.9","265","2012-04-23 14:05","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"24","996.7","...","999.1","2012-04-24 00:01","994.4","2012-04-24 15:37","26.3","32.1","2012-04-24 13:18","22.9","2012-04-24 03:49","...","74","46","2012-04-24 13:19","0.9","111","5.7","262","2012-04-24 15:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"25","995.1","...","998.7","2012-04-25 23:43","993.1","2012-04-25 14:55","26.8","33.0","2012-04-25 11:31","23.2","2012-04-25 05:01","...","75","42","2012-04-25 09:34","1.3","276","12.4","278","2012-04-25 11:01","7.0","...","...","","...","","...","...","...","...","...","...","","..."
"26","1000.8","...","1003.8","2012-04-26 10:09","995.6","2012-04-26 02:30","18.6","24.2","2012-04-26 01:16","16.1","2012-04-26 18:50","...","88","72","2012-04-26 16:41","2.5","122","9.8","96","2012-04-26 16:29","47.5","...","...","","...","","...","...","...","...","...","...","","..."
"27","1000.3","...","1002.6","2012-04-27 12:28","997.9","2012-04-27 04:31","19.7","20.8","2012-04-27 15:30","17.7","2012-04-28 00:00","...","91","83","2012-04-27 01:44","0.8","104","7.2","66","2012-04-27 00:13","27.5","...","...","","...","","...","...","...","...","...","...","","..."
"28","1000.2","...","1001.1","2012-04-28 08:33","998.9","2012-04-28 05:09","22.8","28.3","2012-04-28 11:11","19.6","2012-04-28 05:15","...","88","59","2012-04-28 11:13","0.5","111","5.4","144","2012-04-28 06:20","5.0","...","...","","...","","...","...","...","...","...","...","","..."
"29","997.5","...","999.8","2012-04-30 00:00","995.4","2012-04-29 14:39","24.5","32.5","2012-04-29 14:17","21.0","2012-04-29 05:34","...","80","50","2012-04-29 14:17","0.7","113","10.7","288","2012-04-29 16:14","1.0","...","...","","...","","...","...","...","...","...","...","","..."
"30","995.4","...","998.2","2012-04-30 04:20","993.4","2012-04-30 14:34","27.8","33.6","2012-04-30 14:13","21.3","2012-04-30 04:32","...","68","45","2012-04-30 14:48","1.2","276","10.7","288","2012-04-30 16:14","12.5","...","...","","...","","...","...","...","...","...","...","","..."
