ObsTime,StnPres,SeaPres,StnPresMax,StnPresMaxTime,StnPresMin,StnPresMinTime,Temperature,T Max,T Max Time,T Min,T Min Time,Td dew point,RH,RHMin,RHMinTime,WS,WD,WSGust,WDGust,WGustTime,Precp,PrecpHour,PrecpMax10,PrecpMax10Time,PrecpHrMax,PrecpHrMaxTime,SunShine,SunShineRate,GloblRad,VisbMean,EvapA,UVI Max,UVI Max Time,Cloud Amount
1,/,...,/,,/,,16,/,,/,,...,/,/,,0.5,320,/,/,,0,...,...,,...,,2.5,...,...,...,...,...,,...
2,/,...,/,,/,,17.4,/,,/,,...,/,/,,1.3,330,/,/,,1,...,...,,...,,1.5,...,...,...,...,...,,...
3,/,...,/,,/,,17.4,/,,/,,...,/,/,,1.4,320,/,/,,7,...,...,,...,,2.8,...,...,...,...,...,,...
4,/,...,/,,/,,17.8,/,,/,,...,/,/,,0.8,330,/,/,,0,...,...,,...,,7.6,...,...,...,...,...,,...
5,/,...,/,,/,,16.6,/,,/,,...,/,/,,1.5,330,/,/,,0,...,...,,...,,5.6,...,...,...,...,...,,...
6,/,...,/,,/,,15.1,/,,/,,...,/,/,,1.6,340,/,/,,1,...,...,,...,,0,...,...,...,...,...,,...
7,/,...,/,,/,,15.7,/,,/,,...,/,/,,1.5,330,/,/,,0.5,...,...,,...,,3.2,...,...,...,...,...,,...
8,/,...,/,,/,,14.1,/,,/,,...,/,/,,1.3,330,/,/,,9,...,...,,...,,0,...,...,...,...,...,,...
9,/,...,/,,/,,16.3,/,,/,,...,/,/,,1.3,330,/,/,,0,...,...,,...,,6.9,...,...,...,...,...,,...
10,/,...,/,,/,,17.5,/,,/,,...,/,/,,1.7,20,/,/,,0,...,...,,...,,9,...,...,...,...,...,,...
11,/,...,/,,/,,17.1,/,,/,,...,/,/,,2.3,340,/,/,,0,...,...,,...,,6.3,...,...,...,...,...,,...
12,/,...,/,,/,,12,/,,/,,...,/,/,,3.4,340,/,/,,0,...,...,,...,,2.8,...,...,...,...,...,,...
13,/,...,/,,/,,11.9,/,,/,,...,/,/,,1.9,340,/,/,,0,...,...,,...,,9.1,...,...,...,...,...,,...
14,/,...,/,,/,,13.4,/,,/,,...,/,/,,0.9,330,/,/,,0,...,...,,...,,8.8,...,...,...,...,...,,...
15,/,...,/,,/,,14.6,/,,/,,...,/,/,,0.6,310,/,/,,0,...,...,,...,,8.3,...,...,...,...,...,,...
16,/,...,/,,/,,15.7,/,,/,,...,/,/,,1,330,/,/,,0,...,...,,...,,8.9,...,...,...,...,...,,...
17,/,...,/,,/,,16.9,/,,/,,...,/,/,,0.8,330,/,/,,0,...,...,,...,,9.2,...,...,...,...,...,,...
18,/,...,/,,/,,17.1,/,,/,,...,/,/,,0.9,330,/,/,,0,...,...,,...,,8.5,...,...,...,...,...,,...
19,/,...,/,,/,,19.5,/,,/,,...,/,/,,0.9,330,/,/,,0,...,...,,...,,9.1,...,...,...,...,...,,...
20,/,...,/,,/,,21.1,/,,/,,...,/,/,,0.6,330,/,/,,0,...,...,,...,,8.1,...,...,...,...,...,,...
21,/,...,/,,/,,22.1,/,,/,,...,/,/,,1.7,330,/,/,,0,...,...,,...,,5.4,...,...,...,...,...,,...
22,/,...,/,,/,,17.2,/,,/,,...,/,/,,2.6,340,/,/,,0,...,...,,...,,1.7,...,...,...,...,...,,...
23,/,...,/,,/,,16.3,/,,/,,...,/,/,,1.9,330,/,/,,0,...,...,,...,,0,...,...,...,...,...,,...
24,/,...,/,,/,,18.7,/,,/,,...,/,/,,1.9,340,/,/,,0,...,...,,...,,4.3,...,...,...,...,...,,...
25,/,...,/,,/,,17.4,/,,/,,...,/,/,,2.2,340,/,/,,2,...,...,,...,,0,...,...,...,...,...,,...
26,/,...,/,,/,,16.5,/,,/,,...,/,/,,1.2,340,/,/,,0.5,...,...,,...,,0.3,...,...,...,...,...,,...
27,/,...,/,,/,,18.9,/,,/,,...,/,/,,0.9,330,/,/,,0,...,...,,...,,5.5,...,...,...,...,...,,...
28,/,...,/,,/,,20.7,/,,/,,...,/,/,,1.2,330,/,/,,0,...,...,,...,,2.9,...,...,...,...,...,,...
29,/,...,/,,/,,20.2,/,,/,,...,/,/,,1.7,330,/,/,,0,...,...,,...,,6.9,...,...,...,...,...,,...
30,/,...,/,,/,,18.9,/,,/,,...,/,/,,0.5,320,/,/,,0,...,...,,...,,3.5,...,...,...,...,...,,...
31,/,...,/,,/,,21.5,/,,/,,...,/,/,,0.5,290,/,/,,0,...,...,,...,,8.2,...,...,...,...,...,,...
