"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","889.1","...","890.5","2012-11-01 09:01","887.5","2012-11-01 04:18","17.4","21.5","2012-11-01 12:18","15.1","2012-11-01 03:31","...","100","90","2012-11-01 11:48","0.3","318","1.3","112","2012-11-01 03:54","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"02","889.7","...","891.4","2012-11-02 08:47","888.5","2012-11-02 15:46","17.5","22.5","2012-11-02 13:31","15.3","2012-11-02 05:47","...","99","83","2012-11-02 13:19","0.3","27","2.1","316","2012-11-02 14:45","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"03","889.9","...","891.1","2012-11-03 08:46","888.8","2012-11-03 13:32","19.3","25.3","2012-11-03 13:01","15.9","2012-11-03 06:31","...","88","60","2012-11-03 10:16","0.3","116","1.5","275","2012-11-03 14:46","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"04","889.0","...","890.7","2012-11-04 09:01","887.5","2012-11-04 14:29","19.0","24.1","2012-11-04 14:16","15.3","2012-11-04 06:06","...","89","53","2012-11-04 02:02","0.4","113","1.9","275","2012-11-04 11:27","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"05","889.3","...","890.8","2012-11-05 08:47","888.0","2012-11-05 02:01","18.7","23.4","2012-11-05 12:35","16.2","2012-11-05 05:01","...","95","68","2012-11-05 16:17","0.4","134","2.0","128","2012-11-05 01:56","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"06","889.9","...","891.3","2012-11-06 08:16","888.6","2012-11-06 14:01","18.2","24.0","2012-11-06 11:52","15.3","2012-11-06 22:35","...","96","64","2012-11-06 09:23","0.4","124","2.3","288","2012-11-06 10:52","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"07","889.6","...","891.0","2012-11-07 09:01","888.3","2012-11-07 14:32","17.2","22.0","2012-11-07 10:47","14.0","2012-11-07 04:48","...","96","71","2012-11-07 09:01","0.4","318","1.5","121","2012-11-07 03:28","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"08","889.1","...","890.5","2012-11-08 08:54","887.7","2012-11-08 15:34","17.4","23.2","2012-11-08 12:01","14.4","2012-11-08 04:01","...","93","67","2012-11-08 11:18","0.5","120","3.0","116","2012-11-08 06:21","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"09","889.4","...","891.0","2012-11-09 21:22","887.9","2012-11-09 04:46","19.5","24.6","2012-11-09 12:53","15.4","2012-11-09 04:34","...","86","61","2012-11-09 10:08","0.4","109","1.9","308","2012-11-09 15:32","0.0","...","...","","...","","...","...","...","...","...","...","","..."
"10","890.1","...","891.4","2012-11-10 09:21","888.8","2012-11-10 15:19","20.8","27.7","2012-11-10 11:46","16.8","2012-11-10 01:16","...","89","58","2012-11-10 11:34","0.4","138","3.0","218","2012-11-10 08:30","0.0","...","...","","...","","...","...","...","...","...","...","","..."
